Date,langCode,pageviews
2017-12-06,ja,11378613
2017-12-06,ko,221930
2017-12-06,nl,531378
2017-12-06,no,72662
2017-12-06,pl,1081584
2017-12-06,pt,1535330
2017-12-06,ro,259376
2017-12-06,ru,1055558
2017-12-06,simple,65438
2017-12-06,sv,328236
2017-12-06,uk,225308
2017-12-06,zh,1443348
2017-12-07,ar,205171
2017-12-07,cs,218754
2017-12-07,da,103706
2017-12-07,de,5682659
2017-12-07,en,70046136
2017-12-07,es,4222433
2017-12-07,fi,207456
2017-12-07,fr,4898096
2017-12-07,he,125007
2017-12-07,hi,218709
2017-12-07,hu,102039
2017-12-07,id,1214873
2017-12-07,it,3957418
2017-12-07,ja,10557073
2017-12-07,ko,186678
2017-12-07,nl,490135
2017-12-07,no,82374
2017-12-07,pl,1281494
2017-12-07,pt,1414298
2017-12-07,ro,156580
2017-12-07,ru,461602
2017-12-07,simple,70838
2017-12-07,sv,256708
2017-12-07,uk,192901
2017-12-07,zh,1465704
2017-12-08,ar,235029
2017-12-08,cs,191105
2017-12-08,da,104795
2017-12-08,de,5420750
2017-12-08,en,67154566
2017-12-08,es,3876515
2017-12-08,fi,190340
2017-12-08,fr,3973499
2017-12-08,he,80448
2017-12-08,hi,193701
2017-12-08,hu,106749
2017-12-08,id,968719
2017-12-08,it,4770749
2017-12-08,ja,11371679
2017-12-08,ko,207050
2017-12-08,nl,543294
2017-12-08,no,80751
2017-12-08,pl,995479
2017-12-08,pt,1174694
2017-12-08,ro,101069
2017-12-08,ru,388491
2017-12-08,simple,57209
2017-12-08,sv,357298
2017-12-08,uk,84227
2017-12-08,zh,1400333
2017-12-09,ar,239427
2017-12-09,cs,252388
2017-12-09,da,111172
2017-12-09,de,5168195
2017-12-09,en,65014960
2017-12-09,es,3000112
2017-12-09,fi,199844
2017-12-09,fr,6298537
2017-12-09,he,93103
2017-12-09,hi,163110
2017-12-09,hu,113552
2017-12-09,id,570550
2017-12-09,it,4312897
2017-12-09,ja,12011188
2017-12-09,ko,295197
2017-12-09,nl,520568
2017-12-09,no,89558
2017-12-09,pl,931897
2017-12-09,pt,1241108
2017-12-09,ro,94674
2017-12-09,ru,451868
2017-12-09,simple,51746
2017-12-09,sv,389797
2017-12-09,uk,64596
2017-12-09,zh,1757862
2017-12-10,ar,270781
2017-12-10,cs,251489
2017-12-10,da,146366
2017-12-10,de,6868840
2017-12-10,en,74937429
2017-12-10,es,4204330
2017-12-10,fi,218130
2017-12-10,fr,6481922
2017-12-10,he,99848
2017-12-10,hi,180740
2017-12-10,hu,183969
2017-12-10,id,559267
2017-12-10,it,5881328
2017-12-10,ja,12491154
2017-12-10,ko,262655
2017-12-10,nl,621666
2017-12-10,no,80570
2017-12-10,pl,1410828
2017-12-10,pt,1789624
2017-12-10,ro,147434
2017-12-10,ru,497980
2017-12-10,simple,83041
2017-12-10,sv,422094
2017-12-10,uk,118171
2017-12-10,zh,1790827
2017-12-11,ar,240429
2017-12-11,cs,239540
2017-12-11,da,123637
2017-12-11,de,6768220
2017-12-11,en,77865699
2017-12-11,es,4718965
2017-12-11,fi,149859
2017-12-11,fr,4626281
2017-12-11,he,99376
2017-12-11,hi,199681
2017-12-11,hu,114622
2017-12-11,id,761143
2017-12-11,it,4681384
2017-12-11,ja,11109381
2017-12-11,ko,264712
2017-12-11,nl,520117
2017-12-11,no,99364
2017-12-11,pl,1427689
2017-12-11,pt,1502516
2017-12-11,ro,126231
2017-12-11,ru,461645
2017-12-11,simple,95597
2017-12-11,sv,310092
2017-12-11,uk,228364
2017-12-11,zh,1463276
2017-12-12,ar,210127
2017-12-12,cs,216343
2017-12-12,da,97938
2017-12-12,de,6033420
2017-12-12,en,70513346
2017-12-12,es,3808150
2017-12-12,fi,130379
2017-12-12,fr,3727634
2017-12-12,he,161743
2017-12-12,hi,232400
2017-12-12,hu,104063
2017-12-12,id,583399
2017-12-12,it,4535649
2017-12-12,ja,10556502
2017-12-12,ko,309647
2017-12-12,nl,480023
2017-12-12,no,86519
2017-12-12,pl,1199019
2017-12-12,pt,1598568
2017-12-12,ro,125180
2017-12-12,ru,428534
2017-12-12,simple,74708
2017-12-12,sv,269663
2017-12-12,uk,236247
2017-12-12,zh,1466127
2017-12-13,ar,195479
2017-12-13,cs,239165
2017-12-13,da,117730
2017-12-13,de,6553218
2017-12-13,en,70697088
2017-12-13,es,3851312
2017-12-13,fi,158310
2017-12-13,fr,3887324
2017-12-13,he,109238
2017-12-13,hi,220690
2017-12-13,hu,106401
2017-12-13,id,488437
2017-12-13,it,4540309
2017-12-13,ja,11511016
2017-12-13,ko,220348
2017-12-13,nl,601011
2017-12-13,no,126696
2017-12-13,pl,1179226
2017-12-13,pt,1471190
2017-12-13,ro,298054
2017-12-13,ru,332637
2017-12-13,simple,71908
2017-12-13,sv,302708
2017-12-13,uk,248670
2017-12-13,zh,1402416
2017-12-14,ar,136406
2017-12-14,cs,212064
2017-12-14,da,101638
2017-12-14,de,5650917
2017-12-14,en,67947083
2017-12-14,es,3792213
2017-12-14,fi,130990
2017-12-14,fr,3381709
2017-12-14,he,104218
2017-12-14,hi,249000
2017-12-14,hu,93240
2017-12-14,id,461926
2017-12-14,it,4270634
2017-12-14,ja,10191343
2017-12-14,ko,235072
2017-12-14,nl,533479
2017-12-14,no,68835
2017-12-14,pl,1090316
2017-12-14,pt,1447193
2017-12-14,ro,230999
2017-12-14,ru,333806
2017-12-14,simple,65648
2017-12-14,sv,241807
2017-12-14,uk,224124
2017-12-14,zh,1620262
2017-12-15,ar,145629
2017-12-15,cs,216541
2017-12-15,da,100195
2017-12-15,de,5285645
2017-12-15,en,64573838
2017-12-15,es,2616669
2017-12-15,fi,127080
2017-12-15,fr,2842688
2017-12-15,he,85394
2017-12-15,hi,206218
2017-12-15,hu,96097
2017-12-15,id,394706
2017-12-15,it,3800863
2017-12-15,ja,11377509
2017-12-15,ko,249403
2017-12-15,nl,512503
2017-12-15,no,78665
2017-12-15,pl,783792
2017-12-15,pt,1123854
2017-12-15,ro,181246
2017-12-15,ru,322661
2017-12-15,simple,58893
2017-12-15,sv,342603
2017-12-15,uk,97438
2017-12-15,zh,1387528
2017-12-16,ar,369538
2017-12-16,cs,218077
2017-12-16,da,120110
2017-12-16,de,5011900
2017-12-16,en,62337142
2017-12-16,es,2365828
2017-12-16,fi,143396
2017-12-16,fr,3743650
2017-12-16,he,87760
2017-12-16,hi,177426
2017-12-16,hu,129536
2017-12-16,id,352365
2017-12-16,it,3808992
2017-12-16,ja,12127361
2017-12-16,ko,259838
2017-12-16,nl,527376
2017-12-16,no,65787
2017-12-16,pl,962760
2017-12-16,pt,1220861
2017-12-16,ro,796020
2017-12-16,ru,427241
2017-12-16,simple,46329
2017-12-16,sv,312825
2017-12-16,uk,56671
2017-12-16,zh,1780374
2017-12-17,ar,178943
2017-12-17,cs,278990
2017-12-17,da,151163
2017-12-17,de,7167492
2017-12-17,en,69744750
2017-12-17,es,3224145
2017-12-17,fi,185529
2017-12-17,fr,5310062
2017-12-17,he,102322
2017-12-17,hi,175979
2017-12-17,hu,162776
2017-12-17,id,383865
2017-12-17,it,5554193
2017-12-17,ja,13027714
2017-12-17,ko,367325
2017-12-17,nl,599172
2017-12-17,no,89832
2017-12-17,pl,1352294
2017-12-17,pt,1575315
2017-12-17,ro,306895
2017-12-17,ru,450432
2017-12-17,simple,52021
2017-12-17,sv,357907
2017-12-17,uk,126878
2017-12-17,zh,1903013
2017-12-18,ar,187414
2017-12-18,cs,224199
2017-12-18,da,95832
2017-12-18,de,6316901
2017-12-18,en,72201134
2017-12-18,es,3442931
2017-12-18,fi,135682
2017-12-18,fr,3684209
2017-12-18,he,98282
2017-12-18,hi,218911
2017-12-18,hu,96128
2017-12-18,id,427239
2017-12-18,it,4558475
2017-12-18,ja,11060578
2017-12-18,ko,352462
2017-12-18,nl,498375
2017-12-18,no,49066
2017-12-18,pl,1139522
2017-12-18,pt,1398313
2017-12-18,ro,163524
2017-12-18,ru,390863
2017-12-18,simple,57214
2017-12-18,sv,216318
2017-12-18,uk,226563
2017-12-18,zh,2154630
2017-12-19,ar,163858
2017-12-19,cs,231246
2017-12-19,da,90697
2017-12-19,de,5754152
2017-12-19,en,66314812
2017-12-19,es,2753217
2017-12-19,fi,132653
2017-12-19,fr,3373892
2017-12-19,he,95181
2017-12-19,hi,225173
2017-12-19,hu,120230
2017-12-19,id,413998
2017-12-19,it,3908764
2017-12-19,ja,10667885
2017-12-19,ko,225464
2017-12-19,nl,480042
2017-12-19,no,65273
2017-12-19,pl,981232
2017-12-19,pt,1220672
2017-12-19,ro,123944
2017-12-19,ru,344375
2017-12-19,simple,62540
2017-12-19,sv,180797
2017-12-19,uk,177436
2017-12-19,zh,1666575
2017-12-20,ar,136006
2017-12-20,cs,216159
2017-12-20,da,70397
2017-12-20,de,5271822
2017-12-20,en,64962748
2017-12-20,es,2341111
2017-12-20,fi,96373
2017-12-20,fr,3231185
2017-12-20,he,95624
2017-12-20,hi,206070
2017-12-20,hu,106355
2017-12-20,id,385753
2017-12-20,it,3663763
2017-12-20,ja,10612557
2017-12-20,ko,215324
2017-12-20,nl,463964
2017-12-20,no,58161
2017-12-20,pl,840831
2017-12-20,pt,1072238
2017-12-20,ro,75580
2017-12-20,ru,274251
2017-12-20,simple,63444
2017-12-20,sv,158446
2017-12-20,uk,223087
2017-12-20,zh,1374355
2017-12-21,ar,118079
2017-12-21,cs,169453
2017-12-21,da,60534
2017-12-21,de,5525937
2017-12-21,en,63758826
2017-12-21,es,2376120
2017-12-21,fi,87271
2017-12-21,fr,3053811
2017-12-21,he,97559
2017-12-21,hi,237191
2017-12-21,hu,89740
2017-12-21,id,373294
2017-12-21,it,3415809
2017-12-21,ja,9586485
2017-12-21,ko,233408
2017-12-21,nl,472859
2017-12-21,no,65516
2017-12-21,pl,669872
2017-12-21,pt,1251002
2017-12-21,ro,62150
2017-12-21,ru,266297
2017-12-21,simple,64060
2017-12-21,sv,168000
2017-12-21,uk,183759
2017-12-21,zh,1452283
2017-12-22,ar,112287
2017-12-22,cs,175301
2017-12-22,da,102243
2017-12-22,de,5297137
2017-12-22,en,60856472
2017-12-22,es,1995460
2017-12-22,fi,128107
2017-12-22,fr,2505563
2017-12-22,he,93036
2017-12-22,hi,202078
2017-12-22,hu,95751
2017-12-22,id,311003
2017-12-22,it,3181601
2017-12-22,ja,11066983
2017-12-22,ko,225641
2017-12-22,nl,447941
2017-12-22,no,79370
2017-12-22,pl,589750
2017-12-22,pt,1011419
2017-12-22,ro,51964
2017-12-22,ru,267067
2017-12-22,simple,57083
2017-12-22,sv,288169
2017-12-22,uk,109458
2017-12-22,zh,1424062
2017-12-23,ar,96161
2017-12-23,cs,217706
2017-12-23,da,106022
2017-12-23,de,5567716
2017-12-23,en,62877039
2017-12-23,es,1821808
2017-12-23,fi,211346
2017-12-23,fr,3197119
2017-12-23,he,121837
2017-12-23,hi,172169
2017-12-23,hu,112933
2017-12-23,id,273513
2017-12-23,it,3378470
2017-12-23,ja,12134364
2017-12-23,ko,224368
2017-12-23,nl,533444
2017-12-23,no,223171
2017-12-23,pl,770697
2017-12-23,pt,1065027
2017-12-23,ro,56232
2017-12-23,ru,310451
2017-12-23,simple,51858
2017-12-23,sv,379771
2017-12-23,uk,44727
2017-12-23,zh,1650700
2017-12-24,ar,144750
2017-12-24,cs,316807
2017-12-24,da,130654
2017-12-24,de,6649881
2017-12-24,en,68532980
2017-12-24,es,2111548
2017-12-24,fi,315376
2017-12-24,fr,3283081
2017-12-24,he,138450
2017-12-24,hi,157301
2017-12-24,hu,120091
2017-12-24,id,299251
2017-12-24,it,3858472
2017-12-24,ja,13208757
2017-12-24,ko,323719
2017-12-24,nl,874741
2017-12-24,no,203503
2017-12-24,pl,1001493
2017-12-24,pt,1076244
2017-12-24,ro,50939
2017-12-24,ru,350159
2017-12-24,simple,50675
2017-12-24,sv,508742
2017-12-24,uk,51029
2017-12-24,zh,1885763
2017-12-25,ar,116343
2017-12-25,cs,333537
2017-12-25,da,130692
2017-12-25,de,9496218
2017-12-25,en,70818044
2017-12-25,es,2647392
2017-12-25,fi,321927
2017-12-25,fr,4098552
2017-12-25,he,119756
2017-12-25,hi,196505
2017-12-25,hu,151714
2017-12-25,id,358587
2017-12-25,it,4450186
2017-12-25,ja,10719498
2017-12-25,ko,311292
2017-12-25,nl,810471
2017-12-25,no,186932
2017-12-25,pl,1347123
2017-12-25,pt,1175012
2017-12-25,ro,69638
2017-12-25,ru,504988
2017-12-25,simple,53141
2017-12-25,sv,569993
2017-12-25,uk,64229
2017-12-25,zh,1539130
2017-12-26,ar,96963
2017-12-26,cs,359697
2017-12-26,da,141233
2017-12-26,de,9230620
2017-12-26,en,71180203
2017-12-26,es,2728335
2017-12-26,fi,279771
2017-12-26,fr,4230641
2017-12-26,he,128199
2017-12-26,hi,183157
2017-12-26,hu,154096
2017-12-26,id,307569
2017-12-26,it,6554703
2017-12-26,ja,10335548
2017-12-26,ko,250244
2017-12-26,nl,894298
2017-12-26,no,129667
2017-12-26,pl,1383060
2017-12-26,pt,1560906
2017-12-26,ro,68100
2017-12-26,ru,335647
2017-12-26,simple,65597
2017-12-26,sv,497179
2017-12-26,uk,78247
2017-12-26,zh,1598522
2017-12-27,ar,109193
2017-12-27,cs,235918
2017-12-27,da,139763
2017-12-27,de,7280601
2017-12-27,en,73960083
2017-12-27,es,2687971
2017-12-27,fi,139685
2017-12-27,fr,4104800
2017-12-27,he,142195
2017-12-27,hi,202339
2017-12-27,hu,131374
2017-12-27,id,335921
2017-12-27,it,5730725
2017-12-27,ja,9689858
2017-12-27,ko,201863
2017-12-27,nl,742309
2017-12-27,no,105329
2017-12-27,pl,974292
2017-12-27,pt,1398889
2017-12-27,ro,44920
2017-12-27,ru,322847
2017-12-27,simple,74335
2017-12-27,sv,378912
2017-12-27,uk,60934
2017-12-27,zh,1626358
2017-12-28,ar,99621
2017-12-28,cs,216259
2017-12-28,da,106846
2017-12-28,de,6846708
2017-12-28,en,71080155
2017-12-28,es,2718421
2017-12-28,fi,164620
2017-12-28,fr,4241881
2017-12-28,he,163427
2017-12-28,hi,194865
2017-12-28,hu,128155
2017-12-28,id,313062
2017-12-28,it,5488941
2017-12-28,ja,9087931
2017-12-28,ko,187729
2017-12-28,nl,702573
2017-12-28,no,111310
2017-12-28,pl,1048982
2017-12-28,pt,1558725
2017-12-28,ro,44224
2017-12-28,ru,234524
2017-12-28,simple,71373
2017-12-28,sv,287866
2017-12-28,uk,31170
2017-12-28,zh,1539586
2017-12-29,ar,99409
2017-12-29,cs,232383
2017-12-29,da,99723
2017-12-29,de,6025031
2017-12-29,en,69884425
2017-12-29,es,2421654
2017-12-29,fi,170347
2017-12-29,fr,4000911
2017-12-29,he,103947
2017-12-29,hi,183917
2017-12-29,hu,128984
2017-12-29,id,306161
2017-12-29,it,4757812
2017-12-29,ja,10198793
2017-12-29,ko,279972
2017-12-29,nl,762846
2017-12-29,no,98503
2017-12-29,pl,929686
2017-12-29,pt,1174160
2017-12-29,ro,49311
2017-12-29,ru,523976
2017-12-29,simple,62945
2017-12-29,sv,368696
2017-12-29,uk,37700
2017-12-29,zh,1610008
2017-12-30,ar,89671
2017-12-30,cs,295176
2017-12-30,da,182256
2017-12-30,de,7255177
2017-12-30,en,70414106
2017-12-30,es,2168897
2017-12-30,fi,223409
2017-12-30,fr,4038397
2017-12-30,he,135368
2017-12-30,hi,141899
2017-12-30,hu,130809
2017-12-30,id,333901
2017-12-30,it,4874742
2017-12-30,ja,12407106
2017-12-30,ko,259487
2017-12-30,nl,808786
2017-12-30,no,123300
2017-12-30,pl,1159542
2017-12-30,pt,1082335
2017-12-30,ro,59210
2017-12-30,ru,609873
2017-12-30,simple,53869
2017-12-30,sv,508265
2017-12-30,uk,49649
2017-12-30,zh,2121568
2017-12-31,ar,89321
2017-12-31,cs,481928
2017-12-31,da,196158
2017-12-31,de,8031100
2017-12-31,en,74481935
2017-12-31,es,2293876
2017-12-31,fi,198908
2017-12-31,fr,3910502
2017-12-31,he,184709
2017-12-31,hi,101061
2017-12-31,hu,147951
2017-12-31,id,282244
2017-12-31,it,4706624
2017-12-31,ja,17941489
2017-12-31,ko,354967
2017-12-31,nl,950428
2017-12-31,no,111422
2017-12-31,pl,2171027
2017-12-31,pt,1310535
2017-12-31,ro,85077
2017-12-31,ru,838920
2017-12-31,simple,58630
2017-12-31,sv,370974
2017-12-31,uk,81110
2017-12-31,zh,2155468
2018-01-01,ar,106881
2018-01-01,cs,944620
2018-01-01,da,219716
2018-01-01,de,9970495
2018-01-01,en,81477581
2018-01-01,es,3147826
2018-01-01,fi,227920
2018-01-01,fr,5183157
2018-01-01,he,146251
2018-01-01,hi,108539
2018-01-01,hu,267584
2018-01-01,id,335877
2018-01-01,it,7262487
2018-01-01,ja,13629144
2018-01-01,ko,356341
2018-01-01,nl,881557
2018-01-01,no,113633
2018-01-01,pl,2894119
2018-01-01,pt,1071818
2018-01-01,ro,113541
2018-01-01,ru,909838
2018-01-01,simple,57099
2018-01-01,sv,571899
2018-01-01,uk,88826
2018-01-01,zh,2349211
2018-01-02,ar,103516
2018-01-02,cs,954939
2018-01-02,da,74658
2018-01-02,de,7259066
2018-01-02,en,80492589
2018-01-02,es,2846071
2018-01-02,fi,153052
2018-01-02,fr,4767325
2018-01-02,he,125509
2018-01-02,hi,225716
2018-01-02,hu,168057
2018-01-02,id,336500
2018-01-02,it,6601461
2018-01-02,ja,14703886
2018-01-02,ko,260446
2018-01-02,nl,561235
2018-01-02,no,74434
